2 0.049
0.05	216.5139
0.051	288.6138
0.052	374.4532
0.053	485.7463
0.054	613.4162
0.055	753.8324
0.056	901.9347
0.057	1078.265
0.058	6484.092
0.059	12393.34
0.06	1699.889
0.061	1924.729
0.062	2179.453
0.063	2400.983
0.064	2717.129
0.065	2911.887
0.066	3206.27
0.067	14308.82
0.068	3676.862
0.069	7434.782
0.07	3873.354
0.071	4046.344
0.072	4337.553
0.073	4526.14
0.074	4718.22
0.075	4912.177
0.076	4974.737
0.077	5167.176
0.078	5364.602
0.079	5410.697
0.08	5453.164
0.081	5483.352
0.082	5658.999
0.083	5668.63
0.084	5520.126
0.085	5502.422
0.086	5475.957
0.087	5424.965
0.088	5361.186
0.089	5125.942
0.09	5018.145
0.091	4741.076
0.092	4579.008
0.093	4249.902
0.094	3913.118
0.095	3595.371
0.096	3160.455
0.097	2699.585
0.098	2227.769
0.099	1126.949
0.1	0

