2 0.011
0.012	2.87E-08
0.013	2.93E-05
0.014	5.40E-03
0.015	2.76E-01
0.016	5.89E+00
0.017	6.29E+01
0.018	4.03E+02
0.019	1.80E+03
0.02	6.03E+03
0.021	1.61E+04
0.022	3.60E+04
0.023	7.00E+04
0.024	1.22E+05
0.025	1.89E+05
0.026	2.80E+05
0.027	3.87E+05
0.028	5.12E+05
0.029	6.46E+05
0.03	7.80E+05
0.031	9.20E+05
0.032	1.06E+06
0.033	1.20E+06
0.034	1.33E+06
0.035	1.45E+06
0.036	1.56E+06
0.037	1.66E+06
0.038	1.75E+06
0.039	1.82E+06
0.04	1.88E+06
0.041	1.94E+06
0.042	1.98E+06
0.043	2.01E+06
0.044	2.03E+06
0.045	2.04E+06
0.046	2.05E+06
0.047	2.05E+06
0.048	2.05E+06
0.049	2.04E+06
0.05	2.02E+06
0.051	2.00E+06
0.052	1.97E+06
0.053	1.95E+06
0.054	1.92E+06
0.055	1.89E+06
0.056	1.85E+06
0.057	1.81E+06
0.058	4.16E+06
0.059	5.93E+06
0.06	1.70E+06
0.061	1.65E+06
0.062	1.61E+06
0.063	1.57E+06
0.064	1.53E+06
0.065	1.49E+06
0.066	1.44E+06
0.067	2.88E+06
0.068	1.36E+06
0.069	1.71E+06
0.07	1.17E+06
0.071	1.14E+06
0.072	1.10E+06
0.073	1.07E+06
0.074	1.03E+06
0.075	1.00E+06
0.076	9.63E+05
0.077	9.29E+05
0.078	8.95E+05
0.079	8.59E+05
0.08	8.24E+05
0.081	7.88E+05
0.082	7.55E+05
0.083	7.20E+05
0.084	6.84E+05
0.085	6.48E+05
0.086	6.14E+05
0.087	5.79E+05
0.088	5.44E+05
0.089	5.08E+05
0.09	4.73E+05
0.091	4.36E+05
0.092	4.00E+05
0.093	3.63E+05
0.094	3.26E+05
0.095	2.85E+05
0.096	2.44E+05
0.097	2.03E+05
0.098	1.64E+05
0.099	8.08E+04
0.1	0.00E+00
